행정구역,동읍면,성별,총인구,한국인,외국인
서구,평리2동,남자,"3,459","3,451",8
서구,평리2동,여자,"3,735","3,714",21
서구,평리3동,계,"12,576","12,472",104
서구,평리3동,남자,"6,244","6,212",32
서구,평리3동,여자,"6,332","6,260",72
서구,평리4동,계,"15,962","15,848",114
서구,평리4동,남자,"7,956","7,914",42
서구,평리4동,여자,"8,006","7,934",72
서구,평리5동,계,"9,951","9,897",54
서구,평리5동,남자,"4,989","4,961",28
서구,평리5동,여자,"4,962","4,936",26
서구,평리6동,계,"5,658","5,549",109
서구,평리6동,남자,"3,003","2,924",79
서구,평리6동,여자,"2,655","2,625",30
서구,상중이동,계,"18,112","17,792",320
서구,상중이동,남자,"9,045","8,818",227
서구,상중이동,여자,"9,067","8,974",93
서구,원대동,계,"10,282","10,183",99
서구,원대동,남자,"5,174","5,117",57
서구,원대동,여자,"5,108","5,066",42
남구,소계,계,"138,328","136,263","2,065"
남구,소계,남자,"65,929","65,008",921
남구,소계,여자,"72,399","71,255","1,144"
남구,이천동,계,"13,916","13,763",153
남구,이천동,남자,"6,572","6,497",75
남구,이천동,여자,"7,344","7,266",78
남구,봉덕1동,계,"8,172","8,022",150
남구,봉덕1동,남자,"3,980","3,911",69
남구,봉덕1동,여자,"4,192","4,111",81
남구,봉덕2동,계,"13,271","13,126",145
남구,봉덕2동,남자,"6,260","6,191",69
남구,봉덕2동,여자,"7,011","6,935",76
남구,봉덕3동,계,"14,867","14,639",228
남구,봉덕3동,남자,"7,009","6,890",119
남구,봉덕3동,여자,"7,858","7,749",109
남구,대명1동,계,"9,851","9,690",161
남구,대명1동,남자,"4,801","4,717",84
남구,대명1동,여자,"5,050","4,973",77
남구,대명2동,계,"11,934","11,770",164
남구,대명2동,남자,"5,624","5,560",64
남구,대명2동,여자,"6,310","6,210",100
남구,대명3동,계,"9,665","9,514",151
남구,대명3동,남자,"4,702","4,646",56
남구,대명3동,여자,"4,963","4,868",95
남구,대명4동,계,"9,705","9,648",57
남구,대명4동,남자,"4,640","4,621",19
남구,대명4동,여자,"5,065","5,027",38
남구,대명5동,계,"6,385","5,885",500
남구,대명5동,남자,"3,017","2,774",243
남구,대명5동,여자,"3,368","3,111",257
남구,대명6동,계,"10,930","10,853",77
남구,대명6동,남자,"5,216","5,189",27
남구,대명6동,여자,"5,714","5,664",50
남구,대명9동,계,"13,816","13,653",163
남구,대명9동,남자,"6,720","6,664",56
남구,대명9동,여자,"7,096","6,989",107
남구,대명10동,계,"8,274","8,218",56
남구,대명10동,남자,"3,861","3,845",16
남구,대명10동,여자,"4,413","4,373",40
남구,대명11동,계,"7,542","7,482",60
남구,대명11동,남자,"3,527","3,503",24
남구,대명11동,여자,"4,015","3,979",36
북구,소계,계,"419,508","413,010","6,498"
북구,소계,남자,"207,716","204,630","3,086"
북구,소계,여자,"211,792","208,380","3,412"
북구,고성동,계,"12,746","12,707",39
북구,고성동,남자,"6,295","6,277",18
북구,고성동,여자,"6,451","6,430",21
북구,칠성동,계,"21,722","21,576",146
북구,칠성동,남자,"10,305","10,251",54
북구,칠성동,여자,"11,417","11,325",92
북구,침산1동,계,"3,748","3,581",167
북구,침산1동,남자,"2,051","1,909",142
북구,침산1동,여자,"1,697","1,672",25
북구,침산2동,계,"17,332","17,253",79
북구,침산2동,남자,"8,282","8,259",23
북구,침산2동,여자,"9,050","8,994",56
북구,침산3동,계,"18,344","18,246",98
북구,침산3동,남자,"8,737","8,693",44
북구,침산3동,여자,"9,607","9,553",54
북구,노원동,계,"11,566","11,199",367
북구,노원동,남자,"6,093","5,815",278
북구,노원동,여자,"5,473","5,384",89
북구,산격1동,계,"7,933","7,869",64
북구,산격1동,남자,"3,885","3,857",28
북구,산격1동,여자,"4,048","4,012",36
북구,산격2동,계,"9,852","9,774",78
북구,산격2동,남자,"4,814","4,774",40
북구,산격2동,여자,"5,038","5,000",38
북구,산격3동,계,"9,880","8,299","1,581"
북구,산격3동,남자,"5,033","4,349",684
북구,산격3동,여자,"4,847","3,950",897
북구,산격4동,계,"7,528","7,375",153
북구,산격4동,남자,"3,935","3,862",73
북구,산격4동,여자,"3,593","3,513",80
북구,복현1동,계,"16,492","15,936",556
북구,복현1동,남자,"8,283","8,050",233
북구,복현1동,여자,"8,209","7,886",323
북구,복현2동,계,"6,200","5,732",468
북구,복현2동,남자,"3,017","2,802",215
북구,복현2동,여자,"3,183","2,930",253
북구,대현동,계,"7,498","6,900",598
북구,대현동,남자,"4,198","3,873",325
북구,대현동,여자,"3,300","3,027",273
북구,검단동,계,"29,387","29,162",225
북구,검단동,남자,"14,600","14,427",173
북구,검단동,여자,"14,787","14,735",52
북구,무태조야동,계,"33,878","33,618",260
북구,무태조야동,남자,"17,246","17,137",109
북구,무태조야동,여자,"16,632","16,481",151
북구,관문동,계,"33,249","33,097",152
북구,관문동,남자,"16,463","16,419",44
북구,관문동,여자,"16,786","16,678",108
북구,태전1동,계,"22,089","21,589",500
북구,태전1동,남자,"11,001","10,739",262
북구,태전1동,여자,"11,088","10,850",238
북구,태전2동,계,"22,999","22,557",442
북구,태전2동,남자,"11,137","10,935",202
북구,태전2동,여자,"11,862","11,622",240
북구,구암동,계,"31,893","31,783",110
북구,구암동,남자,"15,471","15,454",17
북구,구암동,여자,"16,422","16,329",93
북구,관음동,계,"14,655","14,565",90
북구,관음동,남자,"7,381","7,355",26
북구,관음동,여자,"7,274","7,210",64
북구,읍내동,계,"24,370","24,265",105
북구,읍내동,남자,"12,062","12,032",30
북구,읍내동,여자,"12,308","12,233",75
북구,동천동,계,"25,761","25,670",91
북구,동천동,남자,"12,430","12,404",26
