"재해위험지구관리번호",재해위험지구명,재해위험지역,재해위험지역상세주소,재해위험유형,재해위험등급,시설명,시설물유형,수계명,지정일자,해제일자,정보수정일자,지정사유,해제사유,추진사항,위험요인,지정면적,관리기관명,관리기관전화번호,데이터기준일자
200704000000,구지도동,대구광역시 달성군 구지면,구지면 508,침수위험,나,"주민이주 18세대, 저지대 성토 1식",,,2007-04-10,2012-06-14,2016-10-04,저지대 주택침수,위험지구 정비완료,정비완료,저지대 주택침수,122226,대구광역시 달성군청,053-668-2992,2020-07-02
199607000000,구지징리,대구광역시 달성군 구지면,"구지면 징리, 오설리",침수위험,다,"가옥이주 8세대 19동, 폐기물처리 1식",,,1996-07-09,2009-12-31,2016-10-04,저지대 주택침수,위험지구 정비완료,정비완료,저지대 주택침수,278443,대구광역시 달성군청,053-668-2992,2020-07-02
201108000000,다사서재,대구광역시 달성군 다사읍,다사읍 서재리 693-1,침수위험,나,"배수관로정비 L=2,612m, 배수펌프장 1식",,,2011-08-10,2016-12-20,2016-10-04,저지대 주택침수,위험지구 정비완료,정비완료,저지대 주택침수,15775,대구광역시 달성군청,053-668-2992,2020-07-02
199607000000,옥연,대구광역시 달성군 옥포면,옥포면 기세리 옥연지,취약방재시설,다,제방승고 L=202m,,,1996-06-15,2000-12-19,2016-10-04,취약 방재,위험지구 정비완료,정비완료,취약 방재,1000000,대구광역시 달성군청,053-668-2992,2020-07-02
199607000000,봉촌,대구광역시 달성군 하빈면,하빈면 봉촌리 일대,침수위험,다,"가옥이주 18세대 36동, 폐기물처리 1식",,,1996-07-09,2009-06-10,2016-10-04,저지대 주택침수,위험지구 정비완료,정비완료,저지대 주택침수,906345,대구광역시 달성군청,053-668-2992,2020-07-02
200706000000,오산자모,대구광역시 달성군 현풍면,현풍면 오산리 32,고립위험,가,"도로승고 L=1,450m",,,2007-06-12,2012-06-14,2016-10-04,고립 위험,위험지구 정비완료,정비완료,고립 위험,433144,대구광역시 달성군청,053-668-2992,2020-07-02
200907000000,성하,대구광역시 달성군 현풍면,현풍면 성하리 445,붕괴시설,나,"위험건물 26동 이주 및 사면보강 4,000㎡",,,2009-07-27,2012-06-14,2016-10-04,붕괴 위험,위험지구 정비완료,정비완료,붕괴 위험,12092,대구광역시 달성군청,053-668-2992,2020-07-02
201503000000,다사서재2,대구광역시 달성군 다사읍,다사읍 서재리 741,침수위험,나,"배수펌프장 증설 1식, 배수관로정비",,,2015-03-26,,2016-10-04,저지대 주택침수,,미착수,저지대 주택침수,140079,대구광역시 달성군청,053-668-2992,2020-07-02
