"재해위험지구관리번호",재해위험지구명,재해위험지역,재해위험지역상세주소,재해위험유형,재해위험등급,시설명,시설물유형,수계명,지정일자,해제일자,정보수정일자,지정사유,해제사유,추진사항,위험요인,지정면적,관리기관명,관리기관전화번호,데이터기준일자
201402000000,지묘지구,대구광역시 동구,지묘동 731번지 일원,침수위험,다,하천,,지묘천,2017-07-12,,2017-12-01,침수위험,,정비완료,하천범람,6927,대구광역시 동구청,053-662-3164,2020-04-23
271402000000,중대지구,대구광역시 동구,중대동 328번지 일원,침수위험,다,하천,,지묘천,2019-09-10,,2019-09-20,침수위험,,정비중(응급조치중),하천범람,41000,대구광역시 동구청,053-662-3164,2020-04-23
