"재해위험지구관리번호",재해위험지구명,재해위험지역,재해위험지역상세주소,재해위험유형,재해위험등급,시설명,시설물유형,수계명,지정일자,해제일자,정보수정일자,지정사유,해제사유,추진사항,위험요인,지정면적,관리기관명,관리기관전화번호,데이터기준일자
272000000000,침산공원지구,대구광역시 북구,침산동 산15-1,붕괴시설,가,사면정비,,,2011-10-20,2016-02-01,2016-02-01,붕괴위험지구,위험지구 정비완료,정비완료,붕괴위험,33808,대구광역시 북구청,053-665-2865,2020-02-11
272000000000,"노곡,조야지구",대구광역시 북구,"노곡,조야,서변동 일원",침수위험,가,"배수펌프장, 고지배수로",,,2007-08-10,2014-04-10,2014-04-10,상습침수지역,위험지구 정비완료,정비완료,침수위험,104900,대구광역시 북구청,053-665-2614,2020-02-11
272000000000,연암공원지구,대구광역시 북구,산격동 744-5,붕괴시설,가,사면정비,,,2005-04-30,2014-11-10,2014-11-10,사면붕괴우려,위험지구 정비완료,정비완료,붕괴위험,28000,대구광역시 북구청,053-665-2865,2020-02-11
272000000000,"침산,산격 자연재해위험개선지구",대구광역시 북구,"침산동,산격동 일원",침수위험,나,빗물펌프장,,,2019-12-31,,,침수우려,,정비중(응급조치완료),침수위험,118330,대구광역시 북구청,053-665-4355,2020-02-11
