행정구,읍면동,총 인구(명),외국인 인구(명),면적(㎢),외국인 인구밀도,외국인 인구밀도_norm
수성구,지산2동,18745,46,1.97,23.35,0.010905993147478988
수성구,범물1동,10073,27,5.44,4.96,0.0022982157233528678
수성구,범물2동,15878,24,2.33,10.3,0.004797700848139898
수성구,고산1동,31415,72,8.79,8.19,0.003810076575986221
수성구,고산2동,26343,69,24.47,2.82,0.0012965493999363429
수성구,고산3동,30108,62,5.01,12.38,0.005771283069030726
달서구,성당동,21191,132,1.99,66.33,0.031023571923386575
달서구,두류1·2동,14420,132,1.33,99.25,0.046432382842485645
달서구,두류3동,8588,67,1.12,59.82,0.027976446799348454
달서구,본리동,22916,408,1.09,374.31,0.1751792701877891
달서구,감삼동,30763,150,1.18,127.12,0.059477448465671885
달서구,죽전동,14521,158,0.74,213.51,0.09991387541892122
달서구,장기동,16152,512,3.11,164.63,0.07703469322798677
달서구,용산1동,29170,228,1.29,176.74,0.08270300125442327
달서구,용산2동,25930,266,1.32,201.52,0.09430173559753612
달서구,이곡1동,21151,666,1.82,365.93,0.17125685720170009
달서구,이곡2동,15336,637,2.04,312.25,0.14613094680870986
달서구,신당동,35044,6420,9.35,686.63,0.3213663852015503
달서구,월성1동,40220,95,2.18,43.58,0.020375016382393144
달서구,월성2동,15064,1049,6.3,166.51,0.07791466177379193
달서구,진천동,50066,337,5.11,65.95,0.03084570594072383
달서구,유천동,33324,78,1.25,62.4,0.029184063207953425
달서구,상인1동,33202,91,1.39,65.47,0.03062103312051825
달서구,상인2동,17686,140,0.9,155.56,0.07278931306285225
달서구,상인3동,9966,53,3.68,14.4,0.0067167811873958564
달서구,도원동,32233,79,10.65,7.42,0.003449663926906443
달서구,송현1동,16941,340,2.46,138.21,0.06466832674917154
달서구,송현2동,18801,450,0.97,463.92,0.2171228773099175
달서구,본동,12097,273,1.1,248.18,0.11614180599501979
달성군,화원읍,46559,469,27.68,16.94,0.007905674860983695
달성군,논공읍,18309,2691,43.89,61.31,0.028673868678736596
달성군,다사읍,91478,941,36.68,25.65,0.011982550410964037
달성군,유가읍,31558,424,57.25,7.41,0.0034449832431521603
달성군,옥포읍,23327,239,48.93,4.88,0.0022607702533186053
달성군,현풍읍,22442,683,24.57,27.8,0.012988897418134845
