행정구,읍면동,인구(명),면적(㎢),세대수,통,리,반
달서구,도원동,31717,10.65,13671,43,,363
달서구,송현1동,16363,2.46,9379,33,,210
달서구,송현2동,18176,0.97,9726,37,,248
달서구,본동,11713,1.1,6226,23,,153
달성군,소계,255946,428.37,113784,,334,2890
달성군,화원읍,46054,27.68,20265,,51,561
달성군,논공읍,15355,43.89,8238,,33,191
달성군,다사읍,90046,36.68,36104,,66,851
달성군,유가읍,31155,57.25,12256,,37,341
달성군,옥포읍,22817,48.93,10719,,27,324
달성군,현풍읍,21434,24.57,11721,,37,245
달성군,가창면,6937,111.33,3556,,28,123
달성군,하빈면,3236,38.2,1920,,21,62
달성군,구지면,18912,39.84,9005,,34,192
군위군,소계,22394,614.34,13438,,182,504
군위군,군위읍,7800,84.07,4239,,34,113
군위군,소보면,2245,101.35,1425,,26,63
군위군,효령면,3612,98.43,2186,,32,72
군위군,부계면,2048,64.81,1264,,15,43
군위군,우보면,1962,59.83,1265,,19,58
군위군,의흥면,2236,54.26,1410,,24,67
군위군,산성면,1197,36.99,785,,14,43
군위군,삼국유사면,1294,114.6,864,,18,45
