읍면동,강수량 리스크,빗물펌프장 리스크,저지대 리스크,총 인구밀도,어린이 인구밀도,고령자 인구밀도,외국인 인구밀도,하천 인근 지역
수성1가동,0.13,0.0,3.03,8.22,5.24,8.51,0.31,10
수성2·3가동,0.13,0.0,3.71,4.43,3.33,3.98,0.36,0
수성4가동,0.13,0.0,3.03,5.82,2.49,6.54,0.33,10
신당동,10.0,2.08,0.79,0.84,0.26,0.7,3.21,10
신암1동,0.0,10.0,3.6,5.08,3.13,5.81,0.5,0
신암2동,0.0,0.0,2.92,8.52,6.4,8.54,0.5,10
신암3동,0.0,0.0,3.37,5.24,4.08,4.53,0.43,0
신암4동,0.0,0.0,2.92,4.4,2.02,4.0,0.52,0
신암5동,0.0,0.0,2.58,4.05,1.92,5.24,0.34,10
신천1·2동,0.0,0.0,3.37,6.55,2.27,9.35,0.29,10
신천3동,0.0,0.0,3.82,5.65,3.85,4.53,0.59,0
신천4동,0.0,0.0,3.37,3.82,1.66,3.42,0.58,0
안심1동,0.0,2.08,3.48,3.18,1.9,3.44,0.36,10
안심2동,0.0,1.25,2.47,0.34,0.18,0.3,0.03,10
안심3동,0.0,0.0,3.15,0.91,0.73,0.67,0.11,10
안심4동,0.0,0.0,3.15,2.93,1.79,2.53,0.33,10
옥포읍,0.34,0.0,8.65,0.13,0.09,0.13,0.02,0
용산1동,10.0,0.0,2.02,6.16,3.02,4.51,0.83,0
용산2동,10.0,0.0,4.04,5.35,2.41,4.11,0.94,0
우보면,1.38,0.0,0.0,0.01,0.0,0.01,0.0,0
원대동,5.19,0.0,3.37,4.73,1.91,5.42,0.77,0
월성1동,10.0,0.83,2.7,5.07,5.35,2.08,0.2,0
월성2동,10.0,0.0,2.47,0.61,0.17,0.99,0.78,0
유가읍,0.34,0.0,3.26,0.15,0.19,0.05,0.03,0
유천동,10.0,0.0,0.0,7.38,10.0,2.18,0.29,0
읍내동,1.59,0.0,3.37,6.26,2.79,5.54,0.44,0
의흥면,1.38,0.0,0.0,0.01,0.0,0.02,0.0,0
이곡1동,10.0,0.0,4.38,3.08,1.34,2.29,1.71,0
이곡2동,10.0,0.0,3.71,1.97,0.74,1.92,1.46,0
이천동,0.54,0.0,3.48,3.66,2.0,4.02,0.66,10
장기동,10.0,0.0,2.25,1.39,0.75,1.17,0.77,0
죽전동,10.0,0.0,3.82,5.42,2.22,4.91,1.0,0
중동,0.13,0.0,3.03,4.41,3.2,3.59,0.52,10
지산1동,0.13,0.0,2.13,2.0,0.64,2.56,0.17,0
지산2동,0.13,0.0,3.82,2.61,1.27,2.91,0.11,0
지저동,0.0,0.0,2.81,1.63,0.52,2.36,0.19,10
진천동,10.0,0.0,0.45,2.71,1.68,2.28,0.31,0
칠성동,1.59,0.0,3.15,4.72,3.09,3.89,0.51,10
침산1동,1.59,10.0,2.7,0.79,0.23,1.2,0.63,10
침산2동,1.59,0.0,2.7,5.03,4.04,3.43,0.37,10
침산3동,1.59,0.0,3.26,4.68,3.11,4.38,0.43,10
태전1동,1.59,0.0,2.81,3.59,1.38,3.25,1.37,0
태전2동,1.59,0.0,2.81,1.96,0.69,1.33,0.47,0
파동,0.13,0.0,3.93,0.75,0.45,0.8,0.04,10
평리1동,5.19,0.0,3.6,4.59,1.24,6.95,0.73,0
평리2동,5.19,0.0,3.03,6.79,3.4,8.24,0.47,0
평리3동,5.19,5.83,2.47,4.46,2.32,4.84,0.63,0
평리4동,5.19,0.0,3.71,5.93,2.72,6.86,0.73,0
평리5동,5.19,0.0,4.04,6.79,6.22,3.65,0.6,0
평리6동,5.19,8.33,2.13,2.06,1.0,2.06,0.7,0
하빈면,0.34,0.0,10.0,0.02,0.0,0.04,0.02,0
해안동,0.0,8.75,3.6,0.28,0.1,0.4,0.03,0
혁신동,0.0,0.0,4.49,0.28,0.3,0.15,0.03,0
현풍읍,0.34,0.0,3.26,0.24,0.17,0.19,0.13,0
화원읍,0.34,0.0,9.89,0.46,0.23,0.44,0.08,0
황금1동,0.13,0.0,4.72,2.23,1.98,1.59,0.06,0
황금2동,0.13,0.0,3.71,2.71,1.57,2.55,0.35,0
효령면,1.38,0.0,0.0,0.01,0.0,0.02,0.01,0
효목1동,0.0,0.0,3.26,2.38,0.6,3.84,0.24,10
효목2동,0.0,0.0,4.04,5.42,2.39,6.41,0.36,0
