행정구,읍면동,인구(명),면적(㎢),인구밀도,어린이수,고령자수,어린이_인구밀도,어린이 인구밀도_norm,고령자_인구밀도,고령자 인구밀도_norm
남구,이천동,14355,1.09,13169.72,1394,3482,1278.9,0.19953750154088135,3194.5,0.4019819858443994
남구,봉덕1동,7953,0.49,16230.61,362,2467,738.78,0.1152579240310392,5034.69,0.6340236279747756
남구,봉덕2동,13068,3.06,4270.59,1560,3270,509.8,0.0795282016393417,1068.63,0.13391707637542985
남구,봉덕3동,14409,2.69,5356.51,1002,4259,372.49,0.058102539216405284,1583.27,0.1988114137568833
남구,대명1동,9511,0.45,21135.56,555,2669,1233.33,0.19242682178985654,5931.11,0.747059112809772
남구,대명2동,11667,0.83,14056.63,706,2658,850.6,0.1327061621210017,3202.41,0.40297940969153
남구,대명3동,9374,0.94,9972.34,370,2998,393.62,0.061399635181714776,3189.36,0.40133384948861545
남구,대명4동,9421,0.71,13269.01,485,3069,683.1,0.10656969386783842,4322.54,0.5442239575912026
남구,대명5동,7355,0.92,7994.57,342,1452,371.74,0.057985510254077686,1578.26,0.19817966995484482
남구,대명6동,10574,1.5,7049.33,824,2598,549.33,0.08569640814708825,1732.0,0.21756575620741878
남구,대명9동,13383,3.38,3959.47,760,3634,224.85,0.03506499788567675,1075.15,0.13473922599405078
남구,대명10동,8116,0.5,16232.0,339,2623,678.0,0.10577389692401075,5246.0,0.6606690936052648
남구,대명11동,7373,0.87,8474.71,322,2556,370.11,0.05773116730928571,2937.93,0.3696293895791275
북구,고성동,13009,0.53,24545.28,2269,1401,4281.13,0.6680013169659228,2643.4,0.3324901676201669
북구,칠성동,22583,1.33,16979.7,2635,4116,1981.2,0.309123421864443,3094.74,0.38940259229323
북구,침산1동,3532,1.24,2848.39,181,1185,145.97,0.0227566718211423,955.65,0.11967068620490945
북구,침산2동,17915,0.99,18095.96,2561,2701,2586.87,0.4036313306817171,2728.28,0.34319324425031184
북구,침산3동,18036,1.07,16856.07,2135,3724,1995.33,0.31132824751469496,3480.37,0.4380292115307745
북구,노원동,7712,0.91,8474.73,762,3033,837.36,0.13064021083937855,3332.97,0.4194425775147123
북구,산격1동,9663,2.29,4219.65,265,3132,115.72,0.018036503673929224,1367.69,0.17162751578413782
북구,산격2동,8209,0.8,10261.25,706,2429,882.5,0.13768379398533548,3036.25,0.38202720407342355
북구,산격3동,7207,0.74,9739.19,281,1868,379.73,0.05923225879940768,2524.32,0.31747458838928033
북구,산격4동,6962,0.39,17851.28,366,2248,938.46,0.1464157149611386,5764.1,0.7259997251094834
북구,복현1동,29093,1.86,15641.4,179,1123,96.24,0.014996871425740443,603.76,0.075298565147161
북구,복현2동,15721,1.22,12886.07,3205,4971,2627.05,0.4099009622901476,4074.59,0.5129583137358252
북구,대현동,5621,3.81,1475.33,1126,4133,295.54,0.04609536768159385,1084.78,0.1359535359368912
북구,검단동,33279,23.25,1431.35,294,1898,12.65,0.0019536034777886836,81.63,0.009459764476831646
북구,무태조야동,32719,14.63,2236.43,4055,5780,277.17,0.043228938297649906,395.08,0.04898473348860024
북구,관문동,21313,2.7,7893.7,4845,5518,1794.44,0.27998164985870705,2043.7,0.25687005622645936
북구,태전1동,22081,1.71,12912.87,1517,4421,887.13,0.13840625277943785,2585.38,0.3251740447869788
북구,태전2동,31154,4.41,7064.4,1944,4665,440.82,0.06876465787753153,1057.82,0.13255397248320708
