col_1,행정동,등록인구,여성비율,외국인비율,고령자비율,치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",가로등 수,보안등 수,어린이용 CCTV 수,생활방범 CCTV 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,안전비상벨 수,요리 주점,입시·교과학원,범죄발생수(유동인구기준),최저_위도,최저_경도,최저_고도
남구,대명11동,8321,0.526619397,0.00672996,0.294676121,0.0,3.448275862,1.149425287,1.149425287,55.17241379,65.51724138,18.3908046,33.33333333,0.0,0.0,0.0,4.597701149,9.195402299,2.298850575,87.05285278,35.824201099209155,128.55542425056152,50.0
북구,고성동,4718,0.515260704,0.00402713,0.234845273,0.0,1.886792453,0.0,0.0,509.4339623,58.49056604,11.32075472,50.94339623,0.0,0.0,0.0,0.0,52.83018868,11.32075472,37.58841102,35.8775254076706,128.58017175330784,25.0
북구,칠성동,23141,0.523745733,0.005877015,0.168618469,1.503759398,9.77443609,0.751879699,0.751879699,606.7669173,24.81203008,10.52631579,18.79699248,0.0,3.007518797,2.255639098,0.0,12.78195489,7.518796992,184.3648621,35.87383112239123,128.584615339171,30.0
북구,침산1동,4116,0.457968902,0.037900875,0.260204082,0.806451613,0.0,0.0,0.0,193.5483871,145.9677419,5.64516129,70.96774194,0.0,15.32258065,15.32258065,0.0,0.0,0.0,32.79226362,35.88995183807735,128.57756422837178,20.0
북구,침산2동,18425,0.518860244,0.003310719,0.134436906,0.0,0.0,1.01010101,1.01010101,400.0,10.1010101,16.16161616,36.36363636,0.0,5.050505051,4.04040404,0.0,14.14141414,35.35353535,146.7923851,35.88174675713208,128.58976248512658,25.0
북구,침산3동,19417,0.519287223,0.003862595,0.177627852,0.934579439,0.934579439,1.869158879,1.869158879,457.9439252,276.635514,9.345794393,24.29906542,0.0,3.738317757,1.869158879,0.0,3.738317757,28.97196262,154.6956712,35.884592886823306,128.5820772502546,25.0
북구,노원동,11460,0.470942408,0.031588133,0.241972077,0.0,6.148867314,0.0,0.0,266.0194175,68.28478964,2.265372168,9.385113269,0.0,20.38834951,1.618122977,0.647249191,5.825242718,0.323624595,91.30207509,35.885130682306496,128.5519032595585,20.0
북구,산격1동,8855,0.504573687,0.008018069,0.337436477,1.098901099,1.098901099,1.098901099,1.098901099,234.0659341,342.8571429,9.89010989,81.31868132,3.296703297,9.89010989,5.494505495,0.0,6.593406593,1.098901099,70.54798211,35.8898552787603,128.59234284459362,25.0
북구,산격2동,10606,0.511597209,0.007448614,0.206298322,0.0,5.676855895,0.436681223,0.436681223,310.9170306,285.1528384,6.113537118,28.8209607,0.0,6.550218341,1.746724891,0.873362445,3.493449782,2.620087336,84.49823808,35.89775960546022,128.59317072410425,25.0
북구,산격3동,10595,0.480698443,0.115148655,0.167437471,0.0,2.5,1.25,1.25,143.75,565.0,15.0,43.75,0.0,5.0,5.0,0.0,62.5,11.25,84.41060084,35.88506370723585,128.60387293906285,40.0
북구,산격4동,8352,0.477250958,0.016522989,0.257543103,0.0,0.0,0.0,0.0,241.8918919,145.9459459,18.91891892,59.45945946,0.0,58.10810811,14.86486486,1.351351351,4.054054054,5.405405405,66.54056991,35.88787134882481,128.59826672111504,35.0
