구군,RiskScore,읍면동
달서구,84.0,두류3동
달서구,84.0,본리동
달서구,84.0,감삼동
달서구,84.0,죽전동
달서구,84.0,장기동
달서구,84.0,이곡1동
달서구,84.0,신당동
달서구,84.0,월성2동
달서구,84.0,상인1동
달서구,84.0,상인2동
달서구,84.0,상인3동
달서구,84.0,도원동
달서구,84.0,송현1동
달서구,84.0,송현2동
달서구,84.0,본동
달서구,84.0,용산1동
달서구,84.0,용산2동
달서구,84.0,이곡2동
달서구,84.0,성당동
달서구,84.0,두류1·2동
달서구,84.0,월성1동
달서구,84.0,진천동
달서구,84.0,유천동
서구,61.7,내당1동
서구,61.7,내당2·3동
서구,61.7,내당4동
서구,61.7,비산1동
서구,61.7,비산2·3동
서구,61.7,비산4동
서구,61.7,비산5동
서구,61.7,비산6동
서구,61.7,비산7동
서구,61.7,평리1동
서구,61.7,평리2동
서구,61.7,평리3동
서구,61.7,평리4동
서구,61.7,평리5동
서구,61.7,평리6동
서구,61.7,상중이동
서구,61.7,원대동
북구,45.0,고성동
북구,45.0,칠성동
북구,45.0,침산1동
북구,45.0,침산2동
북구,45.0,침산3동
북구,45.0,산격1동
북구,45.0,산격2동
북구,45.0,산격3동
북구,45.0,산격4동
북구,45.0,복현1동
북구,45.0,복현2동
북구,45.0,검단동
북구,45.0,무태조야동
북구,45.0,태전2동
북구,45.0,관문동
북구,45.0,읍내동
북구,45.0,관음동
북구,45.0,태전1동
북구,45.0,구암동
북구,45.0,노원동
북구,45.0,동천동
북구,45.0,국우동
북구,45.0,대현동
군위군,44.0,군위읍
군위군,44.0,소보면
군위군,44.0,효령면
군위군,44.0,부계면
군위군,44.0,우보면
군위군,44.0,의흥면
군위군,44.0,산성면
군위군,44.0,삼국유사면
남구,40.1,이천동
남구,40.1,봉덕1동
남구,40.1,봉덕2동
남구,40.1,봉덕3동
남구,40.1,대명1동
남구,40.1,대명2동
남구,40.1,대명3동
남구,40.1,대명4동
남구,40.1,대명5동
남구,40.1,대명6동
남구,40.1,대명9동
남구,40.1,대명10동
남구,40.1,대명11동
달성군,39.2,화원읍
달성군,39.2,논공읍
달성군,39.2,다사읍
달성군,39.2,유가읍
달성군,39.2,옥포읍
달성군,39.2,현풍읍
달성군,39.2,가창면
달성군,39.2,하빈면
달성군,39.2,구지면
수성구,38.2,범어1동
수성구,38.2,범어2동
수성구,38.2,범어3동
수성구,38.2,범어4동
수성구,38.2,만촌1동
수성구,38.2,만촌2동
수성구,38.2,만촌3동
수성구,38.2,수성1가동
수성구,38.2,수성2·3가동
수성구,38.2,수성4가동
수성구,38.2,황금1동
수성구,38.2,황금2동
수성구,38.2,중동
수성구,38.2,상동
수성구,38.2,파동
수성구,38.2,두산동
수성구,38.2,지산1동
수성구,38.2,지산2동
수성구,38.2,범물1동
수성구,38.2,범물2동
수성구,38.2,고산1동
수성구,38.2,고산2동
수성구,38.2,고산3동
중구,37.7,삼덕동
중구,37.7,성내1동
중구,37.7,성내2동
중구,37.7,성내3동
중구,37.7,대신동
중구,37.7,남산1동
중구,37.7,남산2동
중구,37.7,남산3동
중구,37.7,남산4동
중구,37.7,대봉1동
중구,37.7,대봉2동
중구,37.7,동인동
동구,37.6,신암1동
동구,37.6,신암2동
동구,37.6,신암3동
동구,37.6,신암4동
동구,37.6,신암5동
동구,37.6,신천1·2동
동구,37.6,신천3동
동구,37.6,신천4동
동구,37.6,효목1동
동구,37.6,효목2동
동구,37.6,도평동
동구,37.6,불로·봉무동
동구,37.6,지저동
동구,37.6,동촌동
동구,37.6,방촌동
동구,37.6,해안동
동구,37.6,공산동
동구,37.6,안심1동
동구,37.6,안심2동
동구,37.6,안심3동
동구,37.6,안심4동
동구,37.6,혁신동
