일시,구군,추정_일강수량(mm)
2016-01-21,서구,0.0
2016-01-21,수성구,0.0
2016-01-21,중구,0.0
2016-01-22,군위군,0.0
2016-01-22,남구,0.0
2016-01-22,달서구,0.0
2016-01-22,달성군,0.0
2016-01-22,동구,0.0
2016-01-22,북구,0.0
2016-01-22,서구,0.0
2016-01-22,수성구,0.0
2016-01-22,중구,0.0
2016-01-23,군위군,0.0
2016-01-23,남구,0.0
2016-01-23,달서구,0.0
2016-01-23,달성군,0.0
2016-01-23,동구,0.0
2016-01-23,북구,0.0
2016-01-23,서구,0.0
2016-01-23,수성구,0.0
2016-01-23,중구,0.0
2016-01-24,군위군,0.0
2016-01-24,남구,0.0
2016-01-24,달서구,0.0
2016-01-24,달성군,0.0
2016-01-24,동구,0.0
2016-01-24,북구,0.0
2016-01-24,서구,0.0
2016-01-24,수성구,0.0
2016-01-24,중구,0.0
2016-01-25,군위군,0.0
2016-01-25,남구,0.0
2016-01-25,달서구,0.0
2016-01-25,달성군,0.0
2016-01-25,동구,0.0
2016-01-25,북구,0.0
2016-01-25,서구,0.0
2016-01-25,수성구,0.0
2016-01-25,중구,0.0
2016-01-26,군위군,0.0
2016-01-26,남구,0.0
2016-01-26,달서구,0.0
2016-01-26,달성군,0.0
2016-01-26,동구,0.0
2016-01-26,북구,0.0
2016-01-26,서구,0.0
2016-01-26,수성구,0.0
2016-01-26,중구,0.0
2016-01-27,군위군,0.0
2016-01-27,남구,0.0
2016-01-27,달서구,0.0
2016-01-27,달성군,0.0
2016-01-27,동구,0.0
2016-01-27,북구,0.0
2016-01-27,서구,0.0
2016-01-27,수성구,0.0
2016-01-27,중구,0.0
2016-01-28,군위군,6.441972479131814
2016-01-28,남구,6.287233450399575
2016-01-28,달서구,6.4893159791202155
2016-01-28,달성군,7.683874466498378
2016-01-28,동구,6.418572667868984
2016-01-28,북구,5.572582804134615
2016-01-28,서구,6.12383621319513
2016-01-28,수성구,6.353827407909792
2016-01-28,중구,6.2248278364722704
2016-01-29,군위군,12.924605632786415
